End (ISO 8601),End Date,End Time (24 Hour),End Timestamp (Unix),End Timezone (UTC Offset Minutes),Duration (Seconds)
2025-08-07T08:15:00.000-04:00,2025-08-07,08:15:00,1754568900,-240,2400
2025-08-07T09:30:00.000-04:00,2025-08-07,09:30:00,1754573400,-240,2400
2025-08-07T10:16:00.000-04:00,2025-08-07,10:16:00,1754576160,-240,2400
2025-08-07T14:08:00.000-04:00,2025-08-07,14:08:00,1754590080,-240,2400
2025-08-07T14:53:00.000-04:00,2025-08-07,14:53:00,1754592780,-240,2400
2025-08-07T15:33:00.000-04:00,2025-08-07,15:33:00,1754595180,-240,2400
2025-08-07T16:25:00.000-04:00,2025-08-07,16:25:00,1754598300,-240,2400
2025-08-07T17:10:00.000-04:00,2025-08-07,17:10:00,1754601000,-240,2400
2025-08-07T17:50:00.000-04:00,2025-08-07,17:50:00,1754603400,-240,2400
2025-08-07T20:07:00.000-04:00,2025-08-07,20:07:00,1754611620,-240,2400
2025-08-07T21:09:00.000-04:00,2025-08-07,21:09:00,1754615340,-240,2400
2025-08-07T21:49:00.000-04:00,2025-08-07,21:49:00,1754617740,-240,2400
2025-08-08T07:49:00.000-04:00,2025-08-08,07:49:00,1754653740,-240,2400
2025-08-08T08:38:00.000-04:00,2025-08-08,08:38:00,1754656680,-240,2400
2025-08-08T09:32:00.000-04:00,2025-08-08,09:32:00,1754659920,-240,2400
2025-08-08T12:08:00.000-04:00,2025-08-08,12:08:00,1754669280,-240,2400
2025-08-08T12:57:00.000-04:00,2025-08-08,12:57:00,1754672220,-240,2400
2025-08-08T13:42:00.000-04:00,2025-08-08,13:42:00,1754674920,-240,2400
2025-08-08T15:46:00.000-04:00,2025-08-08,15:46:00,1754682360,-240,2400
2025-08-08T16:43:00.000-04:00,2025-08-08,16:43:00,1754685780,-240,2400
2025-08-08T17:23:00.000-04:00,2025-08-08,17:23:00,1754688180,-240,2400
2025-08-08T18:03:00.000-04:00,2025-08-08,18:03:00,1754690580,-240,2400
2025-08-08T20:33:00.000-04:00,2025-08-08,20:33:00,1754699580,-240,2400
2025-08-08T21:22:00.000-04:00,2025-08-08,21:22:00,1754702520,-240,2400
2025-08-09T16:07:00.000-04:00,2025-08-09,16:07:00,1754770020,-240,2400
2025-08-09T16:48:00.000-04:00,2025-08-09,16:48:00,1754772480,-240,2400
2025-08-10T11:39:00.000-04:00,2025-08-10,11:39:00,1754840340,-240,2400
2025-08-10T12:23:00.000-04:00,2025-08-10,12:23:00,1754842980,-240,2400
2025-08-10T17:47:00.000-04:00,2025-08-10,17:47:00,1754862420,-240,2400
2025-08-10T18:27:00.000-04:00,2025-08-10,18:27:00,1754864820,-240,2400
2025-08-11T07:48:00.000-04:00,2025-08-11,07:48:00,1754912880,-240,2400
2025-08-11T08:29:00.000-04:00,2025-08-11,08:29:00,1754915340,-240,2400
2025-08-11T09:20:00.000-04:00,2025-08-11,09:20:00,1754918400,-240,2400
2025-08-11T10:00:00.000-04:00,2025-08-11,10:00:00,1754920800,-240,2400
2025-08-11T10:41:00.000-04:00,2025-08-11,10:41:00,1754923260,-240,2400
2025-08-11T11:30:00.000-04:00,2025-08-11,11:30:00,1754926200,-240,2400
2025-08-11T15:58:00.000-04:00,2025-08-11,15:58:00,1754942280,-240,2400
2025-08-11T16:38:00.000-04:00,2025-08-11,16:38:00,1754944680,-240,2400
2025-08-11T17:19:00.000-04:00,2025-08-11,17:19:00,1754947140,-240,2400
2025-08-11T18:09:00.000-04:00,2025-08-11,18:09:00,1754950140,-240,2400
2025-08-11T21:58:00.000-04:00,2025-08-11,21:58:00,1754963880,-240,2400
2025-08-12T09:47:00.000-04:00,2025-08-12,09:47:00,1755006420,-240,2400
2025-08-12T10:27:00.000-04:00,2025-08-12,10:27:00,1755008820,-240,2400
2025-08-12T11:07:00.000-04:00,2025-08-12,11:07:00,1755011220,-240,2400
2025-08-12T11:47:00.000-04:00,2025-08-12,11:47:00,1755013620,-240,2400
2025-08-12T14:56:00.000-04:00,2025-08-12,14:56:00,1755024960,-240,2400
2025-08-12T15:41:00.000-04:00,2025-08-12,15:41:00,1755027660,-240,2400
2025-08-12T16:25:00.000-04:00,2025-08-12,16:25:00,1755030300,-240,2400
2025-08-12T17:05:00.000-04:00,2025-08-12,17:05:00,1755032700,-240,2400
2025-08-12T17:46:00.000-04:00,2025-08-12,17:46:00,1755035160,-240,2400
2025-08-12T18:26:00.000-04:00,2025-08-12,18:26:00,1755037560,-240,2400
2025-08-12T20:37:00.000-04:00,2025-08-12,20:37:00,1755045420,-240,2400
2025-08-12T21:17:00.000-04:00,2025-08-12,21:17:00,1755047820,-240,2400
2025-08-12T22:00:00.000-04:00,2025-08-12,22:00:00,1755050400,-240,2400
2025-08-12T22:40:00.000-04:00,2025-08-12,22:40:00,1755052800,-240,2400
